@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3}
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
702,'2017/02/24 11:30:27:912',9,0.072616,0,0,0,?,?,?
703,'2017/02/24 11:30:27:929',9,0,0,0,0,?,?,?
704,'2017/02/24 11:30:27:945',9,0,0,0,0,?,?,?
705,'2017/02/24 11:30:27:963',9,0,0,0,0,?,?,?
706,'2017/02/24 11:30:27:978',9,0,0,0,0,?,?,?
707,'2017/02/24 11:30:27:995',9,0,0,0,0,?,?,?
708,'2017/02/24 11:30:28:014',9,0,0,0,0,?,?,?
709,'2017/02/24 11:30:28:030',9,0,0,0,0,?,?,?
710,'2017/02/24 11:30:28:047',9,0,0,0,0,?,?,?
711,'2017/02/24 11:30:28:062',9,0,0,0,0,?,?,?
712,'2017/02/24 11:30:28:078',9,0,0,0,0,?,?,?
713,'2017/02/24 11:30:28:095',9,0,0,0,0,?,?,?
714,'2017/02/24 11:30:28:113',9,0,0,0,0,?,?,?
715,'2017/02/24 11:30:28:129',9,0,0,0,0,?,?,?
716,'2017/02/24 11:30:28:146',9,0,0,0,0,?,?,?
717,'2017/02/24 11:30:28:163',9,0,0,0,0,?,?,?
718,'2017/02/24 11:30:28:178',9,0,0,0,0,?,?,?
719,'2017/02/24 11:30:28:198',9,0,0,0,0,?,?,?
720,'2017/02/24 11:30:28:213',9,0,0,0,0,?,?,?
721,'2017/02/24 11:30:28:229',9,0,0,0,0,?,?,?
722,'2017/02/24 11:30:28:245',9,0,0,0,0,?,?,?
723,'2017/02/24 11:30:28:263',9,0,0,0,0,?,?,?
724,'2017/02/24 11:30:28:282',9,0,0,0,0,?,?,?
725,'2017/02/24 11:30:28:313',9,0,0,0,0,?,?,?
726,'2017/02/24 11:30:28:329',9,0,0,0,0,?,?,?
727,'2017/02/24 11:30:28:346',9,0,0,0,0,?,?,?
728,'2017/02/24 11:30:28:362',9,0,0,0,0,?,?,?
729,'2017/02/24 11:30:28:378',9,0,0,0,0,?,?,?
730,'2017/02/24 11:30:28:396',9,0,0,0,0,?,?,?
731,'2017/02/24 11:30:28:413',9,0,0,0,0,?,?,?
732,'2017/02/24 11:30:28:429',9,0,0,0,0,?,?,?
733,'2017/02/24 11:30:28:445',9,0,0,0,0,?,?,?
734,'2017/02/24 11:30:28:463',9,0,0,0,0,?,?,?
735,'2017/02/24 11:30:28:480',9,0,0,0,0,?,?,?
736,'2017/02/24 11:30:28:496',9,0,0,0,0,?,?,?
737,'2017/02/24 11:30:28:512',9,0,0,0,0,?,?,?
738,'2017/02/24 11:30:28:534',9,0,0,0,0,?,?,?
739,'2017/02/24 11:30:28:549',9,0,0,0,0,?,?,?
740,'2017/02/24 11:30:28:581',9,0,0,0,0,?,?,?
741,'2017/02/24 11:30:28:596',9,0,0,0,0,?,?,?
742,'2017/02/24 11:30:28:614',9,0,0,0,0,?,?,?
743,'2017/02/24 11:30:28:630',9,0,0,0,0,?,?,?
744,'2017/02/24 11:30:28:647',9,0,0,0,0,?,?,?
745,'2017/02/24 11:30:28:663',9,0,0,0,0,?,?,?
746,'2017/02/24 11:30:28:679',9,0,0,0,0,?,?,?
747,'2017/02/24 11:30:28:697',9,0,0,0,0,?,?,?
748,'2017/02/24 11:30:28:714',9,0,0,0,0,?,?,?
749,'2017/02/24 11:30:28:730',9,0,0,0,0,?,?,?
750,'2017/02/24 11:30:28:746',9,0,0,0,0,?,?,?
751,'2017/02/24 11:30:28:764',9,0,0,0,0,?,?,?
752,'2017/02/24 11:30:28:780',9,0,0,0,0,?,?,?
753,'2017/02/24 11:30:28:797',9,0,0,0,0,?,?,?
754,'2017/02/24 11:30:28:814',9,0,0,0,0,?,?,?
755,'2017/02/24 11:30:28:830',9,0,0,0,0,?,?,?
756,'2017/02/24 11:30:28:849',9,0,0,0,0,?,?,?
757,'2017/02/24 11:30:28:866',9,0,0,0,0,?,?,?
758,'2017/02/24 11:30:28:881',9,0,0,0,0,?,?,?
759,'2017/02/24 11:30:28:898',9,0,0,0,0,?,?,?
760,'2017/02/24 11:30:28:914',9,0,0,0,0,?,?,?
761,'2017/02/24 11:30:28:931',9,0,0,0,0,?,?,?
762,'2017/02/24 11:30:28:947',9,0,0,0,0,?,?,?
763,'2017/02/24 11:30:28:965',9,0,0,0,0,?,?,?
764,'2017/02/24 11:30:28:981',9,0,0,0,0,?,?,?
765,'2017/02/24 11:30:28:997',9,0,0,0,0,?,?,?
766,'2017/02/24 11:30:29:014',9,0,0,0,0,?,?,?
767,'2017/02/24 11:30:29:032',9,0,0,0,0,?,?,?
768,'2017/02/24 11:30:29:048',9,0,0,0,0,?,?,?
769,'2017/02/24 11:30:29:066',9,0,0,0,0,?,?,?
770,'2017/02/24 11:30:29:082',9,0,0,0,0,?,?,?
771,'2017/02/24 11:30:29:099',9,0,0,0,0,?,?,?
772,'2017/02/24 11:30:29:115',9,0,0,0,0,?,?,?
773,'2017/02/24 11:30:29:133',9,0,0,0,0,?,?,?
774,'2017/02/24 11:30:29:149',9,0,0,0,0,?,?,?
775,'2017/02/24 11:30:29:184',9,0,0,0,0,?,?,?
776,'2017/02/24 11:30:29:198',9,0,0,0,0,?,?,?
777,'2017/02/24 11:30:29:215',9,0,0,0,0,?,?,?
778,'2017/02/24 11:30:29:249',9,0,0,0,0,?,?,?
779,'2017/02/24 11:30:29:283',9,0,0,0,0,?,?,?
780,'2017/02/24 11:30:29:299',9,0,0,0,0,?,?,?
781,'2017/02/24 11:30:29:315',9,0,0,0,0,?,?,?
782,'2017/02/24 11:30:29:333',9,0,0,0,0,?,?,?
783,'2017/02/24 11:30:29:349',9,0,0,0,0,?,?,?
784,'2017/02/24 11:30:29:367',9,0,0,0,0,?,?,?
785,'2017/02/24 11:30:29:383',9,0,0,0,0,?,?,?
786,'2017/02/24 11:30:29:400',9,0,0,0,0,?,?,?
787,'2017/02/24 11:30:29:415',9,0,0,0,0,?,?,?
788,'2017/02/24 11:30:29:434',9,0,0,0,0,?,?,?
789,'2017/02/24 11:30:29:449',9,0,0,0,0,?,?,?
790,'2017/02/24 11:30:29:466',9,0,0,0,0,?,?,?
791,'2017/02/24 11:30:29:484',9,0,0,0,0,?,?,?
792,'2017/02/24 11:30:29:499',9,0,0,0,0,?,?,?
793,'2017/02/24 11:30:29:516',9,0,0,0,0,?,?,?
794,'2017/02/24 11:30:29:534',9,0,0,0,0,?,?,?
795,'2017/02/24 11:30:29:549',9,0,0,0,0,?,?,?
796,'2017/02/24 11:30:29:565',9,0,0,0,0,?,?,?
797,'2017/02/24 11:30:29:583',9,0,0,0,0,?,?,?
798,'2017/02/24 11:30:30:584',10,0,0,0,0,?,?,?
799,'2017/02/24 11:30:30:602',10,0,0,0,0,?,?,?
800,'2017/02/24 11:30:30:618',10,0,0,0,0,?,?,?
801,'2017/02/24 11:30:30:636',10,0,0,0,0,?,?,?
802,'2017/02/24 11:30:30:652',10,0,0,0,0,?,?,?
803,'2017/02/24 11:30:30:668',10,0,0,0,0,?,?,?
804,'2017/02/24 11:30:30:685',10,0,0,0,0,?,?,?
805,'2017/02/24 11:30:30:702',10,0,0,0,0,?,?,?
806,'2017/02/24 11:30:30:719',10,0,0,0,0,?,?,?
807,'2017/02/24 11:30:30:734',10,0,0,0,0,?,?,?
808,'2017/02/24 11:30:30:753',10,0,0,0,0,?,?,?
809,'2017/02/24 11:30:30:770',10,0,0,0,0,?,?,?
810,'2017/02/24 11:30:30:787',10,0,0,0,0,?,?,?
811,'2017/02/24 11:30:30:803',10,0,0,0,0,?,?,?
812,'2017/02/24 11:30:30:819',10,0,0,0,0,?,?,?
813,'2017/02/24 11:30:30:835',10,0,0,0,0,?,?,?
814,'2017/02/24 11:30:30:852',10,0,0,0,0,?,?,?
815,'2017/02/24 11:30:30:869',10,0,0,0,0,?,?,?
816,'2017/02/24 11:30:30:885',10,0,0,0,0,?,?,?
817,'2017/02/24 11:30:30:903',10,0,0,0,0,?,?,?
818,'2017/02/24 11:30:30:919',10,0,0,0,0,?,?,?
819,'2017/02/24 11:30:30:935',10,0,0,0,0,?,?,?
820,'2017/02/24 11:30:30:953',10,0,0,0,0,?,?,?
821,'2017/02/24 11:30:30:971',10,0,0,0,0,?,?,?
822,'2017/02/24 11:30:30:988',10,0,0,0,0,?,?,?
823,'2017/02/24 11:30:31:004',10,0,0,0,0,?,?,?
824,'2017/02/24 11:30:31:022',10,0,0,0,0,?,?,?
