@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 numeric

@data
126,'2017/02/26 17:25:22:899',2,0,0
127,'2017/02/26 17:25:22:916',2,0,0
128,'2017/02/26 17:25:22:933',2,0,0
129,'2017/02/26 17:25:22:949',2,0,0
130,'2017/02/26 17:25:22:966',2,0,0
131,'2017/02/26 17:25:22:984',2,0,0
132,'2017/02/26 17:25:22:999',2,0,0
133,'2017/02/26 17:25:23:023',2,0,0
134,'2017/02/26 17:25:23:036',2,0,0
135,'2017/02/26 17:25:23:053',2,0,0
136,'2017/02/26 17:25:23:070',2,0,0
137,'2017/02/26 17:25:23:087',2,0,0
138,'2017/02/26 17:25:23:105',2,0,0
139,'2017/02/26 17:25:23:120',2,0,0
140,'2017/02/26 17:25:23:137',2,0,0
141,'2017/02/26 17:25:23:154',2,0,0
142,'2017/02/26 17:25:23:171',2,0,0
143,'2017/02/26 17:25:23:187',2,0,0
144,'2017/02/26 17:25:23:204',2,0,0
145,'2017/02/26 17:25:23:220',2,0,0
146,'2017/02/26 17:25:23:238',2,0,0
147,'2017/02/26 17:25:23:255',2,0,0
148,'2017/02/26 17:25:23:271',2,0,0
149,'2017/02/26 17:25:23:287',2,0,0
150,'2017/02/26 17:25:23:304',2,0,0
151,'2017/02/26 17:25:23:321',2,0,0
152,'2017/02/26 17:25:23:337',2,0,0
153,'2017/02/26 17:25:23:353',2,0,0
154,'2017/02/26 17:25:23:369',2,0,0
155,'2017/02/26 17:25:23:387',2,0,0
156,'2017/02/26 17:25:23:402',2,0,0
157,'2017/02/26 17:25:23:418',2,0,0
158,'2017/02/26 17:25:23:439',2,0,0
159,'2017/02/26 17:25:23:453',2,0,0
160,'2017/02/26 17:25:23:470',2,0,0
161,'2017/02/26 17:25:23:486',2,0,0
162,'2017/02/26 17:25:23:503',2,0,0
163,'2017/02/26 17:25:23:520',2,0,0
164,'2017/02/26 17:25:23:536',2,0,0
165,'2017/02/26 17:25:23:553',2,0,0
166,'2017/02/26 17:25:23:569',2,0,0
167,'2017/02/26 17:25:23:587',2,0,0
168,'2017/02/26 17:25:23:603',2,0,0
169,'2017/02/26 17:25:23:620',2,0,0
170,'2017/02/26 17:25:23:636',2,0,0
171,'2017/02/26 17:25:23:653',2,0,0
172,'2017/02/26 17:25:23:670',2,0,0
173,'2017/02/26 17:25:23:687',2,0,0
174,'2017/02/26 17:25:23:704',2,0,0
175,'2017/02/26 17:25:23:720',2,0,0
176,'2017/02/26 17:25:23:737',2,0,0
177,'2017/02/26 17:25:23:753',2,0,0
178,'2017/02/26 17:25:23:770',2,0,0
179,'2017/02/26 17:25:23:786',2,0,0
180,'2017/02/26 17:25:23:804',2,0,0
181,'2017/02/26 17:25:23:818',2,0,0
182,'2017/02/26 17:25:23:838',2,0,0
183,'2017/02/26 17:25:23:853',2,0,0
184,'2017/02/26 17:25:23:870',2,0,0
185,'2017/02/26 17:25:23:887',2,0,0
186,'2017/02/26 17:25:23:904',2,0,0
187,'2017/02/26 17:25:23:921',2,0,0
188,'2017/02/26 17:25:23:935',2,0,0
189,'2017/02/26 17:25:23:953',2,0,0
190,'2017/02/26 17:25:23:970',2,0,0
191,'2017/02/26 17:25:23:987',2,0,0
192,'2017/02/26 17:25:24:001',2,0,0
193,'2017/02/26 17:25:24:018',2,0,0
194,'2017/02/26 17:25:24:035',2,0,0
195,'2017/02/26 17:25:24:051',2,0,0
196,'2017/02/26 17:25:24:067',2,0,0
197,'2017/02/26 17:25:24:084',2,0,0
198,'2017/02/26 17:25:24:100',2,0,0
199,'2017/02/26 17:25:24:116',2,0,0
200,'2017/02/26 17:25:24:132',2,0,0
201,'2017/02/26 17:25:24:148',2,0,0
202,'2017/02/26 17:25:24:165',2,0,0
203,'2017/02/26 17:25:24:181',2,0,0
204,'2017/02/26 17:25:24:199',2,0,0
205,'2017/02/26 17:25:24:214',2,0,0
206,'2017/02/26 17:25:24:234',2,0,0
207,'2017/02/26 17:25:24:248',2,0,0
208,'2017/02/26 17:25:24:266',2,0,0
209,'2017/02/26 17:25:24:283',2,0,0
210,'2017/02/26 17:25:24:298',2,0,0
211,'2017/02/26 17:25:24:316',2,0,0
212,'2017/02/26 17:25:24:332',2,0,0
213,'2017/02/26 17:25:24:349',2,0,0
214,'2017/02/26 17:25:24:366',2,0,0
215,'2017/02/26 17:25:24:381',2,0,0
216,'2017/02/26 17:25:24:398',2,0,0
217,'2017/02/26 17:25:24:415',2,0,0
218,'2017/02/26 17:25:24:432',2,0,0
219,'2017/02/26 17:25:24:448',2,0,0
220,'2017/02/26 17:25:24:466',2,0,0
221,'2017/02/26 17:25:24:482',2,0,0
222,'2017/02/26 17:25:24:500',2,0,0
223,'2017/02/26 17:25:24:516',2,0,0
224,'2017/02/26 17:25:24:533',2,0,0
225,'2017/02/26 17:25:24:550',2,0,0
226,'2017/02/26 17:25:24:565',2,0,0
227,'2017/02/26 17:25:24:582',2,0,0
228,'2017/02/26 17:25:24:599',2,0,0
229,'2017/02/26 17:25:24:617',2,0,0
230,'2017/02/26 17:25:24:636',2,0,0
231,'2017/02/26 17:25:24:651',2,0,0
232,'2017/02/26 17:25:24:665',2,0,0
233,'2017/02/26 17:25:24:681',2,0,0
234,'2017/02/26 17:25:24:697',2,0,0
235,'2017/02/26 17:25:24:716',2,0,0
236,'2017/02/26 17:25:24:732',2,0,0
237,'2017/02/26 17:25:24:750',2,0,0
238,'2017/02/26 17:25:24:766',2,0,0
239,'2017/02/26 17:25:24:784',2,0,0
240,'2017/02/26 17:25:24:801',2,0,0
241,'2017/02/26 17:25:24:816',2,0,0
242,'2017/02/26 17:25:24:833',2,0,0
243,'2017/02/26 17:25:24:849',2,0,0
244,'2017/02/26 17:25:24:866',2,0,0
245,'2017/02/26 17:25:24:883',2,0,0
246,'2017/02/26 17:25:24:899',2,0,0
247,'2017/02/26 17:25:24:917',2,0,0
248,'2017/02/26 17:25:24:933',2,0,0
249,'2017/02/26 17:25:24:950',2,0,0
250,'2017/02/26 17:25:24:967',2,0,0
251,'2017/02/26 17:25:24:983',2,0,0
252,'2017/02/26 17:25:25:000',2,0,0
253,'2017/02/26 17:25:25:016',2,0,0
254,'2017/02/26 17:25:25:034',2,0,0
255,'2017/02/26 17:25:25:052',2,0,0
256,'2017/02/26 17:25:25:067',2,0,0
257,'2017/02/26 17:25:25:084',2,0,0
258,'2017/02/26 17:25:25:101',2,0,0
259,'2017/02/26 17:25:25:118',2,0,0
260,'2017/02/26 17:25:25:134',2,0,0
261,'2017/02/26 17:25:25:150',2,0,0
262,'2017/02/26 17:25:25:167',2,0,0
263,'2017/02/26 17:25:25:185',2,0,0
264,'2017/02/26 17:25:25:200',2,0,0
265,'2017/02/26 17:25:25:217',2,0,0
266,'2017/02/26 17:25:25:234',2,0,0
267,'2017/02/26 17:25:25:251',2,0,0
268,'2017/02/26 17:25:25:267',2,0,0
269,'2017/02/26 17:25:25:284',2,0,0
270,'2017/02/26 17:25:25:300',2,0,0
271,'2017/02/26 17:25:25:318',2,0,0
272,'2017/02/26 17:25:25:334',2,0,0
273,'2017/02/26 17:25:25:351',2,0,0
274,'2017/02/26 17:25:25:367',2,0,0
275,'2017/02/26 17:25:25:385',2,0,0
276,'2017/02/26 17:25:25:401',2,0,0
455,'2017/02/26 17:26:06:702',4,18.773727,1
456,'2017/02/26 17:26:06:717',4,18.773727,1
457,'2017/02/26 17:26:06:732',4,18.773727,1
458,'2017/02/26 17:26:06:750',4,18.773727,1
459,'2017/02/26 17:26:06:767',4,17.465521,1
460,'2017/02/26 17:26:06:783',4,17.465521,1
461,'2017/02/26 17:26:06:801',4,17.465521,1
462,'2017/02/26 17:26:06:817',4,16.885324,1
463,'2017/02/26 17:26:06:832',4,16.885324,1
464,'2017/02/26 17:26:06:851',4,18.248306,1
465,'2017/02/26 17:26:06:866',4,18.248306,1
466,'2017/02/26 17:26:06:883',4,18.248306,1
467,'2017/02/26 17:26:06:900',4,18.248306,1
468,'2017/02/26 17:26:06:922',4,18.474419,1
469,'2017/02/26 17:26:06:935',4,18.474419,1
470,'2017/02/26 17:26:06:952',4,18.474419,1
471,'2017/02/26 17:26:06:969',4,19.38541,1
472,'2017/02/26 17:26:06:985',4,19.38541,1
473,'2017/02/26 17:26:07:003',4,22.426971,1
474,'2017/02/26 17:26:07:019',4,22.426971,1
475,'2017/02/26 17:26:07:040',4,22.426971,1
476,'2017/02/26 17:26:07:054',4,22.426971,1
477,'2017/02/26 17:26:07:069',4,23.533844,1
478,'2017/02/26 17:26:07:086',4,23.533844,1
479,'2017/02/26 17:26:07:102',4,23.533844,1
480,'2017/02/26 17:26:07:120',4,24.363001,1
481,'2017/02/26 17:26:07:135',4,24.363001,1
482,'2017/02/26 17:26:07:153',4,24.435266,1
483,'2017/02/26 17:26:07:168',4,24.435266,1
484,'2017/02/26 17:26:07:184',4,24.435266,1
485,'2017/02/26 17:26:07:202',4,24.435266,1
486,'2017/02/26 17:26:07:218',4,24.869234,1
487,'2017/02/26 17:26:07:236',4,24.869234,1
488,'2017/02/26 17:26:07:251',4,24.869234,1
489,'2017/02/26 17:26:07:268',4,25.268576,1
490,'2017/02/26 17:26:07:283',4,25.268576,1
491,'2017/02/26 17:26:07:301',4,26.198574,1
492,'2017/02/26 17:26:07:316',4,26.198574,1
493,'2017/02/26 17:26:07:333',4,26.198574,1
494,'2017/02/26 17:26:07:350',4,26.198574,1
495,'2017/02/26 17:26:07:367',4,26.198574,1
496,'2017/02/26 17:26:07:383',4,26.198574,1
497,'2017/02/26 17:26:07:399',4,26.736219,1
498,'2017/02/26 17:26:07:416',4,28.29645,1
499,'2017/02/26 17:26:07:432',4,28.29645,1
500,'2017/02/26 17:26:07:448',4,28.29645,1
501,'2017/02/26 17:26:07:464',4,28.29645,1
502,'2017/02/26 17:26:07:482',4,29.641407,1
503,'2017/02/26 17:26:07:498',4,29.641407,1
504,'2017/02/26 17:26:07:516',4,33.170776,1
505,'2017/02/26 17:26:07:532',4,33.170776,1
506,'2017/02/26 17:26:07:548',4,33.170776,1
507,'2017/02/26 17:26:07:567',4,37.876713,1
508,'2017/02/26 17:26:07:581',4,37.876713,1
509,'2017/02/26 17:26:07:599',4,44.203018,1
510,'2017/02/26 17:26:07:616',4,44.203018,1
511,'2017/02/26 17:26:07:631',4,44.203018,1
512,'2017/02/26 17:26:07:648',4,44.203018,1
513,'2017/02/26 17:26:07:666',4,45.384384,1
514,'2017/02/26 17:26:07:682',4,45.384384,1
515,'2017/02/26 17:26:07:698',4,45.384384,1
516,'2017/02/26 17:26:07:719',4,45.39677,1
517,'2017/02/26 17:26:07:732',4,45.39677,1
518,'2017/02/26 17:26:07:750',4,45.479786,1
519,'2017/02/26 17:26:07:766',4,45.479786,1
520,'2017/02/26 17:26:07:782',4,45.479786,1
521,'2017/02/26 17:26:07:799',4,45.479786,1
522,'2017/02/26 17:26:07:816',4,45.570004,1
523,'2017/02/26 17:26:07:832',4,45.570004,1
524,'2017/02/26 17:26:07:849',4,45.570004,1
525,'2017/02/26 17:26:07:865',4,45.570004,1
526,'2017/02/26 17:26:07:883',4,45.343609,1
527,'2017/02/26 17:26:07:899',4,45.162899,1
528,'2017/02/26 17:26:07:916',4,45.162899,1
529,'2017/02/26 17:26:07:932',4,45.162899,1
530,'2017/02/26 17:26:07:949',4,45.162899,1
531,'2017/02/26 17:26:07:966',4,44.92292,1
532,'2017/02/26 17:26:07:983',4,44.92292,1
533,'2017/02/26 17:26:07:999',4,44.92292,1
534,'2017/02/26 17:26:08:017',4,43.365189,1
535,'2017/02/26 17:26:08:033',4,43.365189,1
536,'2017/02/26 17:26:08:050',4,42.832989,1
537,'2017/02/26 17:26:08:067',4,42.832989,1
538,'2017/02/26 17:26:08:083',4,42.832989,1
539,'2017/02/26 17:26:08:100',4,42.832989,1
540,'2017/02/26 17:26:08:120',4,43.289696,1
541,'2017/02/26 17:26:08:133',4,43.289696,1
542,'2017/02/26 17:26:08:149',4,43.289696,1
543,'2017/02/26 17:26:08:168',4,43.708828,1
544,'2017/02/26 17:26:08:184',4,43.708828,1
545,'2017/02/26 17:26:08:201',4,43.516861,1
546,'2017/02/26 17:26:08:217',4,43.516861,1
547,'2017/02/26 17:26:08:233',4,43.516861,1
548,'2017/02/26 17:26:08:250',4,43.516861,1
549,'2017/02/26 17:26:08:267',4,43.400475,1
550,'2017/02/26 17:26:08:284',4,43.400475,1
551,'2017/02/26 17:26:08:300',4,43.400475,1
552,'2017/02/26 17:26:08:318',4,43.023167,1
553,'2017/02/26 17:26:08:334',4,43.023167,1
554,'2017/02/26 17:26:08:350',4,43.031441,1
